Chunk ID,Average RTT across clients
1,0.016314327716827393
2,0.00853186845779419
3,0.019575655460357666
4,0.011639297008514404
5,0.014152884483337402
6,0.0031458139419555664
7,0.0034392476081848145
8,0.00283890962600708
9,0.0024787187576293945
10,0.002751767635345459
11,0.003499925136566162
12,0.0037502646446228027
13,0.003019869327545166
14,0.0020041465759277344
15,0.0024952292442321777
16,0.0037500858306884766
17,0.0032504796981811523
18,0.003251969814300537
19,0.002254784107208252
20,0.002567887306213379
21,0.004588782787322998
22,0.0038289427757263184
23,0.002400040626525879
24,0.0019515156745910645
25,0.003156602382659912
26,0.0032829642295837402
27,0.002828240394592285
28,0.002389252185821533
29,0.001999974250793457
30,0.0025025606155395508
31,0.00360029935836792
32,0.0023990273475646973
33,0.0020034313201904297
34,0.0022420883178710938
35,0.002498626708984375
36,0.0032564401626586914
37,0.0027530789375305176
38,0.0022458434104919434
39,0.0032501816749572754
40,0.0027500391006469727
41,0.0024989843368530273
42,0.0024986863136291504
43,0.0030024051666259766
44,0.002753317356109619
45,0.0034956932067871094
46,0.002998054027557373
47,0.0025072097778320312
48,0.002751469612121582
49,0.0030739903450012207
50,0.0034189224243164062
51,0.0024992823600769043
52,0.002000570297241211
53,0.0037526488304138184
54,0.003504037857055664
55,0.0029973387718200684
56,0.002502143383026123
57,0.0025848746299743652
58,0.002494215965270996
59,0.0029979944229125977
60,0.002664625644683838
61,0.0025032758712768555
62,0.002495110034942627
63,0.003001987934112549
64,0.002575099468231201
65,0.003426492214202881
66,0.0025746822357177734
67,0.002229034900665283
68,0.002020895481109619
69,0.004423677921295166
70,0.0039997100830078125
71,0.0027515292167663574
72,0.0035007596015930176
73,0.004001259803771973
74,0.0037497282028198242
75,0.003245115280151367
76,0.0035013556480407715
77,0.0040048956871032715
78,0.004246413707733154
79,0.00500112771987915
80,0.0037497282028198242
81,0.0025019049644470215
82,0.003247380256652832
83,0.005251526832580566
84,0.004620015621185303
85,0.004379153251647949
86,0.00375521183013916
87,0.004248857498168945
88,0.005562245845794678
89,0.00443500280380249
90,0.004247784614562988
91,0.0040018558502197266
92,0.0040825605392456055
93,0.00541532039642334
94,0.0037502050399780273
95,0.004001200199127197
96,0.004002809524536133
97,0.004000961780548096
98,0.005495965480804443
99,0.005003809928894043
100,0.00400543212890625
101,0.0034897923469543457
102,0.004000365734100342
103,0.0050550103187561035
104,0.0050591230392456055
105,0.004638612270355225
106,0.003996133804321289
107,0.005198955535888672
108,0.0045593976974487305
109,0.004552960395812988
110,0.004254937171936035
111,0.004496514797210693
112,0.005052030086517334
113,0.024677932262420654
114,0.029999852180480957
115,0.022801756858825684
116,0.0044100284576416016
